Ingredient1;Ingredient2;Ingredient3;Ingredient4;Ingredient5;RecipeName
Flour;Sugar;Butter;Eggs;Milk;Pancakes
Flour;Sugar;Cocoa;Butter;Eggs;Chocolate Cake
Tomatoes;Cheese;Dough;Basil;Olive Oil;Pizza
Lettuce;Tomatoes;Cucumber;Olive Oil;Feta;Greek Salad
Chicken;Curry Powder;Coconut Milk;Onion;Garlic;Chicken Curry
Pasta;Tomato Sauce;Cheese;Basil;Garlic;Spaghetti
Potatoes;Butter;Milk;Salt;Pepper;Mashed Potatoes
Beef;Onion;Garlic;Tomato Paste;Carrots;Beef Stew
Flour;Butter;Salt;Water;Eggs;Pie Crust
Rice;Soy Sauce;Chicken;Carrots;Peas;Fried Rice
Avocado;Tomatoes;Lime;Onion;Cilantro;Guacamole
Bread;Tomato;Mozzarella;Basil;Olive Oil;Bruschetta
Chickpeas;Tahini;Garlic;Lemon;Olive Oil;Hummus
Black Beans;Corn;Avocado;Cilantro;Lime;Bean Salad
Tortilla;Chicken;Cheese;Salsa;Sour Cream;Quesadilla
Bread;Eggs;Milk;Cinnamon;Vanilla;French Toast
Banana;Oats;Peanut Butter;Honey;Milk;Smoothie
Salmon;Soy Sauce;Ginger;Garlic;Honey;Teriyaki Salmon
Beef;Lettuce;Tomato;Cheese;Onion;Burger
Shrimp;Garlic;Butter;Parsley;Lemon;Garlic Shrimp
Spinach;Strawberries;Feta;Walnuts;Balsamic Vinegar;Spinach Salad
Eggplant;Tomato Sauce;Mozzarella;Basil;Parmesan;Eggplant Parmesan
Rice;Chicken;Saffron;Peas;Tomatoes;Paella
Cabbage;Carrots;Mayonnaise;Vinegar;Sugar;Coleslaw
Bread;Ham;Cheese;Butter;Mustard;Grilled Cheese Sandwich
Mushrooms;Rice;Onion;Garlic;Parmesan;Mushroom Risotto
Oats;Honey;Nuts;Dried Fruit;Cinnamon;Granola
Tortilla;Beef;Lettuce;Tomato;Cheese;Taco
Tofu;Soy Sauce;Ginger;Garlic;Broccoli;Stir Fry
Potatoes;Ground Beef;Onion;Cheese;Gravy;Shepherd's Pie
Apples;Cinnamon;Sugar;Butter;Flour;Apple Pie
Avocado;Bread;Tomato;Olive Oil;Salt;Avocado Toast
Pasta;Cheese;Eggs;Bacon;Pepper;Carbonara
Chicken;Lettuce;Croutons;Parmesan;Caesar Dressing;Caesar Salad
Lamb;Onion;Garlic;Cumin;Tomatoes;Lamb Stew
Fish;Lemon;Garlic;Parsley;Olive Oil;Grilled Fish
Zucchini;Tomato Sauce;Mozzarella;Parmesan;Zucchini Boats
Quinoa;Black Beans;Corn;Avocado;Lime;Quinoa Salad
Beef;Barbecue Sauce;Onion;Garlic;Burger Buns;BBQ Beef Sandwich
Potatoes;Mayonnaise;Mustard;Pickles;Onion;Potato Salad
Chicken;Onion;Garlic;Tomatoes;Paprika;Chicken Paprikash
Flour;Sugar;Butter;Baking Soda;Chocolate Chips;Chocolate Chip Cookies
Yogurt;Honey;Berries;Granola;Nuts;Parfait
Pasta;Tomatoes;Garlic;Olive Oil;Parmesan;Pasta Primavera
Chicken;Peppers;Onion;Garlic;Cumin;Chicken Fajitas
Shrimp;Butter;Garlic;White Wine;Parsley;Shrimp Scampi
Bread;Avocado;Tomato;Lime;Cilantro;Avocado Sandwich
Rice;Chicken;Peas;Carrots;Soy Sauce;Chicken Fried Rice
Salmon;Lemon;Garlic;Dill;Olive Oil;Baked Salmon
Beef;Potatoes;Carrots;Onion;Garlic;Beef Stew
Lettuce;Tomato;Cucumber;Feta;Olives;Greek Salad
Pasta;Cheese;Tomato Sauce;Basil;Garlic;Baked Ziti
Chicken;Lettuce;Tomato;Cheese;Caesar Dressing;Chicken Caesar Wrap
Eggs;Flour;Sugar;Butter;Vanilla;Vanilla Cupcakes
Bananas;Peanut Butter;Honey;Milk;Cocoa;Banana Smoothie
Bread;Tomato Sauce;Mozzarella;Pepperoni;Pepperoni Pizza
Lamb;Garlic;Rosemary;Olive Oil;Potatoes;Roast Lamb
Tofu;Peppers;Onion;Soy Sauce;Ginger;Tofu Stir Fry
Mushrooms;Garlic;Onion;Cream;Parsley;Mushroom Soup
Chicken;Onion;Peppers;Tomatoes;Cumin;Chicken Stew
Beef;Onion;Garlic;Tomatoes;Paprika;Goulash
Pasta;Tomato Sauce;Meatballs;Parmesan;Basil;Spaghetti and Meatballs
Eggs;Milk;Cheese;Spinach;Mushrooms;Spinach Quiche
Chicken;Lettuce;Tomato;Cheese;Ranch Dressing;Chicken Salad Wrap
Apples;Cinnamon;Sugar;Butter;Flour;Apple Crisp
Potatoes;Bacon;Cheddar Cheese;Sour Cream;Chives;Loaded Baked Potatoes
Flour;Butter;Cinnamon;Sugar;Apples;Apple Turnovers
Bananas;Flour;Sugar;Eggs;Butter;Banana Bread
Chicken;Garlic;Lemon;Olive Oil;Parsley;Lemon Chicken
Pasta;Tomato Sauce;Mozzarella;Pepperoni;Basil;Pepperoni Pasta
Beef;Onion;Garlic;Peppers;Tomato Sauce;Stuffed Peppers
Flour;Butter;Eggs;Sugar;Lemon;Lemon Bars
Chicken;Mango;Peppers;Onion;Lime;Mango Chicken Stir Fry
Bread;Butter;Sugar;Cinnamon;Vanilla;Cinnamon Toast
Lettuce;Tomato;Cucumber;Olives;Feta;Greek Salad Wrap
Tofu;Garlic;Ginger;Soy Sauce;Broccoli;Tofu and Broccoli Stir Fry
Chicken;Onion;Peppers;Tomatoes;Cumin;Chicken Fajita Bowl
Pasta;Tomato Sauce;Mozzarella;Parmesan;Basil;Cheesy Pasta Bake
Lettuce;Tomato;Cheese;Avocado;Ranch Dressing;Southwest Salad
Eggs;Milk;Cheese;Onion;Peppers;Western Omelette
Bread;Butter;Cheddar Cheese;Ham;Mustard;Ham and Cheese Sandwich
Pasta;Garlic;Olive Oil;Parmesan;Basil;Pasta Aglio e Olio
Chicken;Soy Sauce;Ginger;Garlic;Honey;Honey Garlic Chicken
Rice;Chicken;Soy Sauce;Eggs;Peas;Chicken Fried Rice
Eggs;Flour;Milk;Butter;Blueberries;Blueberry Muffins
Lamb;Garlic;Rosemary;Olive Oil;Potatoes;Lamb Roast
Chicken;Garlic;Lemon;Parsley;Olive Oil;Lemon Garlic Chicken
Eggplant;Tomato Sauce;Mozzarella;Basil;Parmesan;Eggplant Parmesan
Lettuce;Tomato;Cucumber;Olives;Feta;Greek Salad
Rice;Shrimp;Garlic;Butter;Lemon;Shrimp Scampi Rice
Chicken;Onion;Garlic;Tomatoes;Paprika;Chicken Paprikash
Bread;Ham;Cheese;Butter;Mustard;Grilled Ham and Cheese
Pasta;Tomato Sauce;Mozzarella;Parmesan;Basil;Baked Pasta
Chicken;Onion;Peppers;Garlic;Tomato Sauce;Chicken Cacciatore
Beef;Garlic;Onion;Tomatoes;Basil;Beef Bolognese
Eggs;Cheese;Spinach;Mushrooms;Onion;Spinach and Cheese Omelette
Chicken;Garlic;Soy Sauce;Honey;Ginger;Honey Soy Chicken
Rice;Beef;Garlic;Onion;Soy Sauce;Beef Stir Fry
Eggs;Cheese;Bacon;Spinach;Mushrooms;Breakfast Casserole
Flour;Butter;Sugar;Cinnamon;Apples;Apple Pie
Chicken;Garlic;Lemon;Parsley;Olive Oil;Lemon Chicken Pasta
Pasta;Tomato Sauce;Mozzarella;Basil;Parmesan;Baked Ziti
Beef;Onion;Garlic;Tomato Sauce;Carrots;Beef Stew
